tourney_name,surface,player,seed,ace,df,svperc,firstwon,secondwon,tour,result
Guadalajara,Hard,Veronika Kudermetova,NA,5,6,59.183673469387756,82.75862068965517,50,WTA,win
Guadalajara,Hard,Veronika Kudermetova,NA,2,0,61.224489795918366,66.66666666666667,68.42105263157895,WTA,win
Guadalajara,Hard,Veronika Kudermetova,NA,4,6,47.31182795698925,70.45454545454545,63.265306122448976,WTA,win
Guadalajara,Hard,Veronika Kudermetova,NA,4,4,51.351351351351354,57.89473684210526,55.55555555555556,WTA,win
Guadalajara,Hard,Veronika Kudermetova,NA,12,6,58.51063829787234,76.36363636363636,51.282051282051285,WTA,win
Anning,Clay,Saisai Zheng,2,1,3,75,52.38095238095238,50,WTA,win
Anning,Clay,Saisai Zheng,2,0,2,81.0126582278481,65.625,40,WTA,win
Anning,Clay,Saisai Zheng,2,3,0,72.58064516129032,60,52.94117647058823,WTA,win
Anning,Clay,Saisai Zheng,2,1,2,72.09302325581395,61.29032258064516,50,WTA,win
Anning,Clay,Saisai Zheng,2,1,3,70.83333333333333,62.745098039215684,47.61904761904762,WTA,win
Fed Cup G1 RR: KAZ vs IND,Hard,Yulia Putintseva,NA,1,1,66.19718309859155,68.08510638297872,54.166666666666664,WTA,win
Fed Cup G1 RR: KAZ vs THA,Hard,Yulia Putintseva,NA,1,2,70.58823529411765,61.111111111111114,60,WTA,win
Fed Cup G1 RR: CHN vs INA,Hard,Saisai Zheng,NA,1,1,69.6969696969697,65.21739130434783,55,WTA,win
Fed Cup G1 RR: CHN vs KOR,Hard,Saisai Zheng,NA,0,2,67.94871794871794,66.0377358490566,56,WTA,win
Fed Cup G1 RR: UKR vs SWE,Hard,Dayana Yastremska,NA,0,5,69.64285714285714,64.1025641025641,52.94117647058823,WTA,win
Fed Cup G1 PM: POL vs UKR,Hard,Dayana Yastremska,NA,9,6,60,71.11111111111111,50,WTA,win
Fed Cup G1 RR: GBR vs GRE,Hard,Johanna Konta,NA,3,2,63.96396396396396,61.971830985915496,52.5,WTA,win
Fed Cup G1 RR: GBR vs HUN,Hard,Johanna Konta,NA,4,3,77.3913043478261,73.03370786516854,42.30769230769231,WTA,win
Fed Cup G1 RR: GBR vs SLO,Hard,Johanna Konta,NA,3,4,74.32432432432432,61.81818181818182,26.31578947368421,WTA,win
Fed Cup G1 RR: GRE vs SLO,Hard,Maria Sakkari,NA,5,9,63.333333333333336,73.6842105263158,45.45454545454545,WTA,win
Fed Cup G1 RR: HUN vs GRE,Hard,Maria Sakkari,NA,2,6,53.84615384615385,71.42857142857143,56.666666666666664,WTA,win
Fed Cup G1 RR: CRO vs TUR,Hard,Donna Vekic,NA,2,6,50,71.42857142857143,67.85714285714286,WTA,win
Fed Cup G1 RR: SRB vs CRO,Hard,Donna Vekic,NA,4,8,56.578947368421055,76.74418604651163,36.36363636363637,WTA,win
Fed Cup G1 PPO: GBR vs SRB,Hard,Johanna Konta,NA,9,0,69.23076923076923,71.42857142857143,32.142857142857146,WTA,win
Fed Cup WG R1: AUS vs USA,Hard,Ashleigh Barty,NA,10,3,48.484848484848484,90.625,47.05882352941177,WTA,win
Fed Cup WG R1: AUS vs USA,Hard,Ashleigh Barty,NA,3,3,60.65573770491803,64.86486486486487,37.5,WTA,win
Fed Cup WG SF: BLR vs AUS,Hard,Aryna Sabalenka,NA,8,15,66.93548387096774,63.855421686746986,29.26829268292683,WTA,win
Fed Cup WG SF: BLR vs AUS,Hard,Ashleigh Barty,NA,6,0,64.78873239436619,69.56521739130434,36,WTA,win
Fed Cup WG SF: BLR vs AUS,Hard,Ashleigh Barty,NA,12,1,68.85245901639344,73.80952380952381,52.63157894736842,WTA,win
Fed Cup WG R1: CZE vs ROU,Hard,Karolina Pliskova,NA,6,2,67.74193548387096,76.19047619047619,50,WTA,win
Fed Cup WG R1: CZE vs ROU,Hard,Simona Halep,NA,3,4,64.70588235294117,75.75757575757575,44.44444444444444,WTA,win
